assumed_correlation,effective_independent_epochs,all_miss_probability
0.0,20.0,1.0809084805040122e-30
0.0033277591973244146,18.810650980638872,6.543394612056148e-29
0.006655518394648829,17.754817256019713,2.4990211096485782e-27
0.009983277591973243,16.811211222467424,6.48014618801362e-26
0.013311036789297659,15.962842346911538,1.209775661789106e-24
0.016638795986622074,15.195985007305763,1.7048857795320423e-23
0.019966555183946487,14.499430206338046,1.88517077261548e-22
0.023294314381270904,13.863934065169763,1.6885785693631849e-21
0.026622073578595317,13.281805259417201,1.2581458992895193e-20
0.02994983277591973,12.746592204968614,7.973451822179953e-20
0.03327759197324415,12.252842946419424,4.37961666306214e-19
0.03660535117056856,11.795918769910545,2.1186070610516026e-18
0.039933110367892974,11.371848020385654,9.150400332102878e-18
0.04326086956521739,10.977210356759338,3.570506855718334e-17
0.04658862876254181,10.609044298969254,1.271618862076039e-16
0.04991638795986622,10.26477277603742,4.170447106238302e-16
0.053244147157190634,9.942142714637228,1.2693536710989035e-15
0.05657190635451505,9.63917567317069,3.6101176808576535e-15
0.05989966555183946,9.35412723490122,9.651891749707404e-15
0.06322742474916387,9.085453399068665,2.4387612522752952e-14
0.0665551839464883,8.831782602274407,5.851226612282796e-14
0.0698829431438127,8.591892299624286,1.3386809722319783e-13
0.07321070234113712,8.364689261585374,2.931553337016163e-13
0.07653846153846154,8.149192916470772,6.165641205075491e-13
0.07986622073578595,7.944521203103412,1.24922318686624e-12
0.08319397993311037,7.749878503158917,2.444979646426726e-12
0.08652173913043477,7.5645453050485125,4.634063011809628e-12
0.0898494983277592,7.387869316251459,8.524667202943425e-12
0.09317725752508361,7.219257792693821,1.5251405168224263e-11
0.09650501672240802,7.058170895077575,2.6586921755643175e-11
0.09983277591973244,6.904115915257172,4.5236631648455547e-11
0.10316053511705685,6.756642242572496,7.524049079069122e-11
0.10648829431438127,6.61533696181247,1.2250979502747474e-10
0.10981605351170569,6.479820992236134,1.9553108972254642e-10
0.1131438127090301,6.3497456916232204,3.062732142536345e-10
0.11647157190635452,6.224789861295443,4.713371328854832e-10
0.11979933110367892,6.104657097939934,7.13391356168792e-10
0.12312709030100334,5.9890734462711,1.0629382806959443e-09
0.12645484949832775,5.877785313399975,1.560458531692892e-09
0.12978260869565217,5.770557611490936,2.2589812668980633e-09
0.1331103678929766,5.667172100075815,3.2271283033293917e-09
0.136438127090301,5.567425903426574,4.552678803699602e-09
0.1397658862876254,5.471130181791567,6.346699082013618e-09
0.14309364548494982,5.3781089381832246,8.74827886683963e-09
0.14642140468227424,5.288197944854177,1.1929911136116886e-08
0.14974916387959866,5.20124377568549,1.610354747848135e-08
0.15307692307692308,5.117102932493603,2.152735493779602e-08
0.15640468227424748,5.035641054789965,2.851319357591872e-08
0.1597324414715719,4.956732203839396,3.743482667618241e-08
0.16306020066889632,4.880258212993075,4.873686775051065e-08
0.16638795986622074,4.806108097247337,6.294446045694084e-08
0.16971571906354516,4.734177515823474,8.067367933374971e-08
0.17304347826086955,4.664368282295682,1.0264263106099127e-07
0.17637123745819397,4.596587917430523,1.296832279133178e-07
0.1796989966555184,4.530749240455499,1.6275359730306013e-07
0.1830267558528428,4.466769994958078,2.029510839511149e-07
0.18635451505016723,4.404572506039714,2.515257943723032e-07
0.18968227424749162,4.344083365720243,3.0989462711308904e-07
0.19301003344481604,4.285233143913608,3.796557266080425e-07
0.19633779264214046,4.227956122582447,4.6260329368543193e-07
0.19966555183946488,4.172190050931417,5.607426816940376e-07
0.2029933110367893,4.117875919722078,6.763057039683861e-07
0.2063210702341137,4.06495775298924,8.117660759092752e-07
0.20964882943143812,4.013382415613266,9.698549133276836e-07
0.21297658862876254,3.96309943535774,1.1535762078675195e-06
0.21630434782608696,3.914060838119549,1.366222200259667e-06
0.21963210702341138,3.86622099526097,1.6113885728302335e-06
0.22295986622073577,3.81953648200251,1.8929893840460768e-06
0.2262876254180602,3.7739659459527686,2.21527166987958e-06
0.2296153846153846,3.7294699849386794,2.5828296393573307e-06
0.23294314381270903,3.686011033377508,3.000618394764416e-06
0.23627090301003345,3.643553256501884,3.4739671105461372e-06
0.23959866220735784,3.602062451811874,4.008591608920116e-06
0.24292642140468226,3.5615059571845045,4.610606274520791e-06
0.24625418060200668,3.521852565121881,5.286535254984153e-06
0.2495819397993311,3.4830724426647253,6.043322899183572e-06
0.2529096989966555,3.4451370565394233,6.888343389789231e-06
0.2562374581939799,3.4080191031438694,7.829409531890586e-06
0.25956521739130434,3.371692443011068,8.87478066454151e-06
0.26289297658862876,3.3361320394199145,1.0033169667213673e-05
0.2662207357859532,3.3013139008501713,1.1313749038232223e-05
0.2695484949832776,3.2672150270036964,1.2726156027279111e-05
0.272876254180602,3.2338133581367177,1.4280496808947096e-05
0.27620401337792644,3.2010877274685976,1.5987349689082373e-05
0.2795317725752508,3.1690178164513365,1.7857767340236374e-05
0.2828595317725752,3.137584112701182,1.9903278066935765e-05
0.28618729096989964,3.106767870409335,2.2135886105652633e-05
0.28951505016722406,3.076551073062943,2.4568070968303207e-05
0.2928428093645485,3.0469163983206298,2.721278584180259e-05
0.2961705685618729,3.0178471848986526,3.0083455059654736e-05
0.2994983277591973,2.9893274013346995,3.319397066474675e-05
0.30282608695652175,2.9613416165062603,3.655868808544912e-05
0.30615384615384617,2.9338749717896637,4.0192420949788526e-05
0.3094816053511706,2.906913154754237,4.411043506486713e-05
0.31280936454849495,2.8804423742937377,4.832844159084715e-05
0.31613712374581937,2.8544493371042616,5.2862589440715614e-05
0.3194648829431438,2.8289212254243385,5.772945693868601e-05
0.3227926421404682,2.803845675958899,6.294604277150178e-05
0.32612040133779263,2.7792107599143,6.852975626807902e-05
0.32944816053511705,2.7550049640766705,7.449840704387902e-05
0.33277591973244147,2.7312171728705184,8.087019404714253e-05
0.3361036789297659,2.7078366513388623,8.766369404465548e-05
0.3394314381270903,2.684853028990127,9.489784958507267e-05
0.34275919732441473,2.6622562844607485,0.00010259195647799274
0.3460869565217391,2.640036730945822,0.00011076565082699177
0.3494147157190635,2.618185002353302,0.00011943889565467207
0.35274247491638794,2.5966920401401694,0.00012863196715749706
0.35607023411371236,2.5755490807917014,0.0001383654406277612
0.3593979933110368,2.5547476439074823,0.0001486601760795079
0.3627257525083612,2.5342795208601294,0.0001595373036145597
0.3660535117056856,2.514136763994871,0.0001710182085640795
0.36938127090301004,2.494311676340119,0.00018312451644025466
0.37270903010033446,2.4747968018010558,0.00019587807773178146
0.3760367892976589,2.4555849158099834,0.00020930095257585627
0.37936454849498324,2.436669016408806,0.00022341539533834797
0.38269230769230766,2.4180423157405255,0.00023824383913273372
0.3860200668896321,2.3996982319280256,0.0002538088803072665
0.3893478260869565,2.381630381319734,0.0002701332629286792
0.3926755852842809,2.3638325710829755,0.00028723986328954223
0.39600334448160535,2.3462987921269516,0.0003051516744652022
0.39933110367892977,2.3290232123383703,0.0003238917909449892
0.4026588628762542,2.312000170113725,0.0003434833933611739
0.4059866220735786,2.2952241681731476,0.00036394973333793
0.409314381270903,2.2786898676416514,0.00038531411848130803
0.4126421404682274,2.2623920823843644,0.00040759989753004803
0.4159698996655518,2.246325773583134,0.00043083044568581675
0.41929765886287623,2.2304860445425825,0.000455029150140296
0.42262541806020065,2.2148681357143785,0.00048021939581533834
0.4259531772575251,2.199467419929088,0.0005064245513313073
0.4292809364548495,2.184279397825583,0.0005336679552175367
0.4326086956521739,2.169299693468522,0.0005619729023777773
0.43593645484949833,2.1545240501449263,0.0005913626308224266
0.43926421404682275,2.139948326331384,0.0006218603086782677
0.4425919732441471,2.1255684918238478,0.000653489021485453
0.44591973244147154,2.1113806240224275,0.0006862717597904943
0.44924749163879596,2.0973809043639906,0.00072023140704305
0.4525752508361204,2.083565614895752,0.000755390727803398
0.4559030100334448,2.0699311349833938,0.0007917723562666237
0.4592307692307692,2.0564739381475916,0.0008293987851086784
0.46255852842809364,2.0431905890231463,0.0008682923546586835
0.46588628762541806,2.030077740435211,0.0009084752424010499
0.4692140468227425,2.0171321305873797,0.0009499694528102996
0.4725418060200669,2.004350580356694,0.000992796807520688
0.47586956521739127,1.9917299906908272,0.001036978935832175
0.4791973244147157,1.9792673401030014,0.001082537265553526
0.4825250836120401,1.9669596822603592,0.0011294930141828368
0.4858528428093645,1.95480414366176,0.001177867180425144
0.48918060200668895,1.9427979214011537,0.0012276805360462628
0.49250836120401337,1.9309382810128706,0.0012789536180615158
0.4958361204013378,1.9192225543953567,0.001331706721257487
0.4991638795986622,1.9076481378100327,0.0013859598910445766
0.5024916387959866,1.896212489952135,0.0014417329166376157
0.505819397993311,1.8849131300905262,0.0014990453245615294
0.5091471571906354,1.8737476362736236,0.0015579163724785657
0.5124749163879598,1.862713643598713,0.00161836504333339
0.5158026755852843,1.8518088425420567,0.00168041003981193
0.5191304347826087,1.8410309773473146,0.0017440697791096629
0.5224581939799331,1.8303778444699175,0.0018093623880047402
0.5257859531772575,1.8198472910751402,0.0018763056982311073
0.5291137123745819,1.8094372135877237,0.0019449172421465814
0.5324414715719064,1.7991455562909924,0.002015214248690659
0.5357692307692308,1.7889703099735095,0.0020872136396266356
0.5390969899665552,1.7789095106213988,0.002160932026062478
0.5424247491638796,1.7689612381545414,0.002236385705244786
0.545752508361204,1.7591236152049468,0.002313590657619986
0.5490802675585285,1.7493948059356557,0.002392562544156914
0.5524080267558529,1.7397730148986246,0.0024733167039247303
0.5557357859531773,1.7302564859300924,0.0025558681519201503
0.5590635451505016,1.7208435010820022,0.0026402315771378746
0.562391304347826,1.711532379588116,0.0027264213408780347
0.5657190635451504,1.7023214768635155,0.0028144514752844654
0.5690468227424749,1.6932091835362308,0.002904335682107655
0.5723745819397993,1.6841939245098094,0.0029960873316860876
0.5757023411371237,1.6752741580556736,0.003089719462139794
0.5790301003344481,1.666448374934164,0.003185244778769968
0.5823578595317725,1.6577150975432275,0.0032826756536583628
0.585685618729097,1.649072879093727,0.0033820241254604554
0.5890133779264214,1.6405203028104198,0.0034833018993861535
0.5923411371237458,1.632055981157668,0.003586520347362078
0.5956688963210702,1.623678555088997,0.0036916905083693554
0.5989966555183946,1.6153866933196466,0.0037988230889510165
0.6023244147157191,1.6071790916213025,0.003907928463883057
0.6056521739130435,1.5990544721382138,0.004019016677003436
0.6089799331103679,1.5910115827239555,0.004132097442193158
0.6123076923076923,1.5830491962981004,0.004247180144503899
0.6156354515050168,1.5751661102221168,0.004364273841426489
0.6189632107023412,1.5673611456938192,0.004483387264294838
0.6222909698996656,1.5596331471597333,0.004604528819819837
0.6256187290969899,1.551980981744759,0.004727706591748014
0.6289464882943143,1.544403538698543,0.004852928342639602
0.6322742474916387,1.536899728857991,0.004980201515761001
0.6356020066889632,1.5294684841253705,0.005109533237086591
0.6389297658862876,1.5221087569614842,0.0052409303174049396
0.642257525083612,1.5148195198934054,0.00537439925452462
0.6455852842809364,1.507599765036291,0.005509946235574898
0.6489130434782608,1.5004485036288022,0.00564757713939672
0.6522408026755853,1.493364765581688,0.005787297539019427
0.6555685618729097,1.4863475990390937,0.005929112704218819
0.6588963210702341,1.4793960699521795,0.006073027604152338
0.6622240802675585,1.4725092616646496,0.00621904691006704
0.6655518394648829,1.465686274509804,0.006367174998076358
0.6688795986622074,1.45892622541874,0.006517415952001696
0.6722073578595318,1.4522282475393473,0.006669773566274878
0.6755351170568562,1.445591489865751,0.006824251348897727
0.6788628762541806,1.4390151168778664,0.006980852524455149
0.682190635451505,1.432498308190752,0.007139580037178033
0.6855183946488295,1.4260402582134435,0.007300436554052605
0.6888461538461538,1.4196401758169757,0.007463424467972817
0.6921739130434782,1.4132972840113065,0.0076285459009324584
0.6955016722408026,1.4070108196308597,0.0077958027072539265
0.698829431438127,1.4007800330284257,0.007965196476850447
0.7021571906354515,1.3946041877771573,0.008136728538518887
0.7054849498327759,1.3884825603804165,0.00831039996326016
0.7088127090301003,1.3824144399892273,0.008486211567624514
0.7121404682274247,1.3763991281271075,0.008664163917078927
0.7154682274247491,1.3704359384220508,0.008844257329394107
0.7187959866220736,1.3645241963454482,0.0090264918780484
0.722123745819398,1.3586632389577373,0.00921086739564631
0.7254515050167224,1.3528524146605765,0.00939738347734927
0.7287792642140468,1.3470910829553557,0.009586039484316217
0.7321070234113712,1.3413786142078465,0.00977683454715209
0.7354347826086957,1.335714389418819,0.00996976756936182
0.7387625418060201,1.3300978000004449,0.010164837230807968
0.7420903010033445,1.3245282475583162,0.01036204199117006
0.7454180602006689,1.3190051436789214,0.010561380093403603
0.7487458193979933,1.3135279097224128,0.010762849567197148
0.7520735785953178,1.3080959766205187,0.01096644823242552
0.7554013377926421,1.3027087846794476,0.011172173702597626
0.7587290969899665,1.2973657833876435,0.01138002338829723
0.7620568561872909,1.2920664312282517,0.011589994500615184
0.7653846153846153,1.2868101954961644,0.011802084054571527
0.7687123745819398,1.28159655211951,0.01201628887252631
0.7720401337792642,1.2764249854854683,0.012232605587577506
0.7753678929765886,1.2712949882702842,0.012451030646944894
0.778695652173913,1.2662060612733628,0.012671560315338745
0.7820234113712374,1.261157713255337,0.012894190678311908
0.7853511705685619,1.256149460779989,0.013118917645594537
0.7886789297658863,1.251180828059927,0.013345736954409994
0.7920066889632107,1.246251346805908,0.013574644172771311
0.7953344481605351,1.2413605560797087,0.013805634702756999
0.7986622073578595,1.2365080021504486,0.014038703783765372
0.801989966555184,1.2316932383542682,0.014273846495746574
0.8053177257525084,1.2269158249572734,0.014511057762411472
0.8086454849498328,1.2221753290216568,0.014750332354416633
0.8119732441471572,1.2174713242749124,0.014991664892524634
0.8153010033444816,1.2128033909820564,0.015235049850739153
0.818628762541806,1.2081711158207784,0.01548048155941401
0.8219565217391304,1.2035740917594422,0.015727954208335747
0.8252842809364548,1.19901191793786,0.015977461849779107
0.8286120401337792,1.1944841995507702,0.01622899840153482
0.8319397993311036,1.1899905477339436,0.01648255764990934
0.835267558528428,1.185530579452852,0.01673813325269596
0.8385953177257525,1.181103917393829,0.016995718742117024
0.8419230769230769,1.1767101898576635,0.01725530752773665
0.8452508361204013,1.1723490306555548,0.01751689289934393
0.8485785953177257,1.1680200790073783,0.017780468029805766
0.8519063545150501,1.1637229794421915,0.018046025977889665
0.8552341137123746,1.1594573817009317,0.018313559691055793
0.858561872909699,1.1552229406412453,0.018583062008218066
0.8618896321070234,1.1510193161443933,0.018854525662474392
0.8652173913043478,1.1468461730241835,0.01912794328380551
0.8685451505016722,1.1427031809378765,0.019403307401742342
0.8718729096989967,1.138590014299015,0.019680610448001998
0.8752006688963211,1.13450635219213,0.019959844759091863
0.8785284280936455,1.1304518782892745,0.02024100257888202
0.8818561872909699,1.1264262807683434,0.02052407606114574
0.8851839464882942,1.1224292522331274,0.02080905727206823
0.8885117056856187,1.1184604896350696,0.02109593819272305
0.8918394648829431,1.11451969419667,0.02138471072151697
0.8951672240802675,1.1106065713365072,0.021675366676602546
0.8984949832775919,1.1067208305958343,0.021967897798258782
0.9018227424749163,1.1028621855667062,0.022262295751240054
0.9051505016722408,1.0990303538216115,0.02255855212709276
0.9084782608695652,1.0952250568445614,0.022856658446440418
0.9118060200668896,1.0914460199636062,0.023156606161236985
0.915133779264214,1.0876929722847464,0.0234583866569883
0.9184615384615384,1.0839656466271994,0.023761991254942133
0.9217892976588629,1.0802637794599945,0.024067411214246773
0.9251170568561873,1.076587110839864,0.024374637734078004
0.9284448160535117,1.0729353843503942,0.024683661955735244
0.9317725752508361,1.0693083470424147,0.024994474964706376
0.9351003344481605,1.0657057493755908,0.02530706779270173
0.938428093645485,1.0621273451611928,0.025621431419657278
0.9417558528428094,1.0585728915060146,0.025937556775707325
0.9450836120401338,1.0550421487574144,0.026255434743126804
0.9484113712374582,1.051534880449452,0.026575056158243272
0.9517391304347825,1.048050853250097,0.026896411813318966
0.955066889632107,1.0445898369094815,0.02721949245840313
0.9583946488294314,1.0411516042091775,0.027544288803154567
0.9617224080267558,1.03773593091247,0.027870791518635
0.9650501672240802,1.0343425957156078,0.028198991239073132
0.9683779264214046,1.0309713802000051,0.028528878563600004
0.971705685618729,1.0276220687853783,0.028860444057955337
0.9750334448160535,1.0242944486837902,0.02919367825616575
0.9783612040133779,1.020988309854586,0.029528571662194525
0.9816889632107023,1.017703444960198,0.029865114751563657
0.9850167224080267,1.014439649322802,0.03020329797294794
0.9883444816053512,1.0111967208818042,0.030543111749741784
0.9916722408026756,1.00797446015214,0.030884546481598864
0.995,1.004772670183371,0.031227592545944597
